0x001, "fflags"
0x002, "frm"
0x003, "fcsr"
0x008, "vstart"
0x009, "vxsat"
0x00A, "vxrm"
0x00F, "vcsr"
0x011, "ssp"
0x015, "seed"
0x017, "jvt"
0xC00, "cycle"
0xC01, "time"
0xC02, "instret"
0xC03, "hpmcounter3"
0xC04, "hpmcounter4"
0xC05, "hpmcounter5"
0xC06, "hpmcounter6"
0xC07, "hpmcounter7"
0xC08, "hpmcounter8"
0xC09, "hpmcounter9"
0xC0A, "hpmcounter10"
0xC0B, "hpmcounter11"
0xC0C, "hpmcounter12"
0xC0D, "hpmcounter13"
0xC0E, "hpmcounter14"
0xC0F, "hpmcounter15"
0xC10, "hpmcounter16"
0xC11, "hpmcounter17"
0xC12, "hpmcounter18"
0xC13, "hpmcounter19"
0xC14, "hpmcounter20"
0xC15, "hpmcounter21"
0xC16, "hpmcounter22"
0xC17, "hpmcounter23"
0xC18, "hpmcounter24"
0xC19, "hpmcounter25"
0xC1A, "hpmcounter26"
0xC1B, "hpmcounter27"
0xC1C, "hpmcounter28"
0xC1D, "hpmcounter29"
0xC1E, "hpmcounter30"
0xC1F, "hpmcounter31"
0xC20, "vl"
0xC21, "vtype"
0xC22, "vlenb"
0x100, "sstatus"
0x102, "sedeleg"
0x103, "sideleg"
0x104, "sie"
0x105, "stvec"
0x106, "scounteren"
0x10A, "senvcfg"
0x10C, "sstateen0"
0x10D, "sstateen1"
0x10E, "sstateen2"
0x10F, "sstateen3"
0x120, "scountinhibit"
0x140, "sscratch"
0x141, "sepc"
0x142, "scause"
0x143, "stval"
0x144, "sip"
0x14D, "stimecmp"
0x150, "siselect"
0x151, "sireg"
0x152, "sireg2"
0x153, "sireg3"
0x155, "sireg4"
0x156, "sireg5"
0x157, "sireg6"
0x15C, "stopei"
0x180, "satp"
0x181, "srmcfg"
0x5A8, "scontext"
0x200, "vsstatus"
0x204, "vsie"
0x205, "vstvec"
0x240, "vsscratch"
0x241, "vsepc"
0x242, "vscause"
0x243, "vstval"
0x244, "vsip"
0x24D, "vstimecmp"
0x250, "vsiselect"
0x251, "vsireg"
0x252, "vsireg2"
0x253, "vsireg3"
0x255, "vsireg4"
0x256, "vsireg5"
0x257, "vsireg6"
0x25C, "vstopei"
0x280, "vsatp"
0x600, "hstatus"
0x602, "hedeleg"
0x603, "hideleg"
0x604, "hie"
0x605, "htimedelta"
0x606, "hcounteren"
0x607, "hgeie"
0x608, "hvien"
0x609, "hvictl"
0x60A, "henvcfg"
0x60C, "hstateen0"
0x60D, "hstateen1"
0x60E, "hstateen2"
0x60F, "hstateen3"
0x643, "htval"
0x644, "hip"
0x645, "hvip"
0x646, "hviprio1"
0x647, "hviprio2"
0x64A, "htinst"
0x680, "hgatp"
0x6A8, "hcontext"
0xE12, "hgeip"
0xEB0, "vstopi"
0xDA0, "scountovf"
0xDB0, "stopi"
0x007, "utvt"
0x045, "unxti"
0x046, "uintstatus"
0x048, "uscratchcsw"
0x049, "uscratchcswl"
0x107, "stvt"
0x145, "snxti"
0x146, "sintstatus"
0x148, "sscratchcsw"
0x149, "sscratchcswl"
0x307, "mtvt"
0x345, "mnxti"
0x346, "mintstatus"
0x348, "mscratchcsw"
0x349, "mscratchcswl"
0x300, "mstatus"
0x301, "misa"
0x302, "medeleg"
0x303, "mideleg"
0x304, "mie"
0x305, "mtvec"
0x306, "mcounteren"
0x308, "mvien"
0x309, "mvip"
0x30a, "menvcfg"
0x30C, "mstateen0"
0x30D, "mstateen1"
0x30E, "mstateen2"
0x30F, "mstateen3"
0x320, "mcountinhibit"
0x340, "mscratch"
0x341, "mepc"
0x342, "mcause"
0x343, "mtval"
0x344, "mip"
0x34a, "mtinst"
0x34b, "mtval2"
0x350, "miselect"
0x351, "mireg"
0x352, "mireg2"
0x353, "mireg3"
0x355, "mireg4"
0x356, "mireg5"
0x357, "mireg6"
0x35c, "mtopei"
0x3a0, "pmpcfg0"
0x3a1, "pmpcfg1"
0x3a2, "pmpcfg2"
0x3a3, "pmpcfg3"
0x3a4, "pmpcfg4"
0x3a5, "pmpcfg5"
0x3a6, "pmpcfg6"
0x3a7, "pmpcfg7"
0x3a8, "pmpcfg8"
0x3a9, "pmpcfg9"
0x3aa, "pmpcfg10"
0x3ab, "pmpcfg11"
0x3ac, "pmpcfg12"
0x3ad, "pmpcfg13"
0x3ae, "pmpcfg14"
0x3af, "pmpcfg15"
0x3b0, "pmpaddr0"
0x3b1, "pmpaddr1"
0x3b2, "pmpaddr2"
0x3b3, "pmpaddr3"
0x3b4, "pmpaddr4"
0x3b5, "pmpaddr5"
0x3b6, "pmpaddr6"
0x3b7, "pmpaddr7"
0x3b8, "pmpaddr8"
0x3b9, "pmpaddr9"
0x3ba, "pmpaddr10"
0x3bb, "pmpaddr11"
0x3bc, "pmpaddr12"
0x3bd, "pmpaddr13"
0x3be, "pmpaddr14"
0x3bf, "pmpaddr15"
0x3c0, "pmpaddr16"
0x3c1, "pmpaddr17"
0x3c2, "pmpaddr18"
0x3c3, "pmpaddr19"
0x3c4, "pmpaddr20"
0x3c5, "pmpaddr21"
0x3c6, "pmpaddr22"
0x3c7, "pmpaddr23"
0x3c8, "pmpaddr24"
0x3c9, "pmpaddr25"
0x3ca, "pmpaddr26"
0x3cb, "pmpaddr27"
0x3cc, "pmpaddr28"
0x3cd, "pmpaddr29"
0x3ce, "pmpaddr30"
0x3cf, "pmpaddr31"
0x3d0, "pmpaddr32"
0x3d1, "pmpaddr33"
0x3d2, "pmpaddr34"
0x3d3, "pmpaddr35"
0x3d4, "pmpaddr36"
0x3d5, "pmpaddr37"
0x3d6, "pmpaddr38"
0x3d7, "pmpaddr39"
0x3d8, "pmpaddr40"
0x3d9, "pmpaddr41"
0x3da, "pmpaddr42"
0x3db, "pmpaddr43"
0x3dc, "pmpaddr44"
0x3dd, "pmpaddr45"
0x3de, "pmpaddr46"
0x3df, "pmpaddr47"
0x3e0, "pmpaddr48"
0x3e1, "pmpaddr49"
0x3e2, "pmpaddr50"
0x3e3, "pmpaddr51"
0x3e4, "pmpaddr52"
0x3e5, "pmpaddr53"
0x3e6, "pmpaddr54"
0x3e7, "pmpaddr55"
0x3e8, "pmpaddr56"
0x3e9, "pmpaddr57"
0x3ea, "pmpaddr58"
0x3eb, "pmpaddr59"
0x3ec, "pmpaddr60"
0x3ed, "pmpaddr61"
0x3ee, "pmpaddr62"
0x3ef, "pmpaddr63"
0x747, "mseccfg"
0x7a0, "tselect"
0x7a1, "tdata1"
0x7a2, "tdata2"
0x7a3, "tdata3"
0x7a4, "tinfo"
0x7a5, "tcontrol"
0x7a8, "mcontext"
0x7aa, "mscontext"
0x7b0, "dcsr"
0x7b1, "dpc"
0x7b2, "dscratch0"
0x7b3, "dscratch1"
0xB00, "mcycle"
0xB02, "minstret"
0xB03, "mhpmcounter3"
0xB04, "mhpmcounter4"
0xB05, "mhpmcounter5"
0xB06, "mhpmcounter6"
0xB07, "mhpmcounter7"
0xB08, "mhpmcounter8"
0xB09, "mhpmcounter9"
0xB0A, "mhpmcounter10"
0xB0B, "mhpmcounter11"
0xB0C, "mhpmcounter12"
0xB0D, "mhpmcounter13"
0xB0E, "mhpmcounter14"
0xB0F, "mhpmcounter15"
0xB10, "mhpmcounter16"
0xB11, "mhpmcounter17"
0xB12, "mhpmcounter18"
0xB13, "mhpmcounter19"
0xB14, "mhpmcounter20"
0xB15, "mhpmcounter21"
0xB16, "mhpmcounter22"
0xB17, "mhpmcounter23"
0xB18, "mhpmcounter24"
0xB19, "mhpmcounter25"
0xB1A, "mhpmcounter26"
0xB1B, "mhpmcounter27"
0xB1C, "mhpmcounter28"
0xB1D, "mhpmcounter29"
0xB1E, "mhpmcounter30"
0xB1F, "mhpmcounter31"
0x321, "mcyclecfg"
0x322, "minstretcfg"
0x323, "mhpmevent3"
0x324, "mhpmevent4"
0x325, "mhpmevent5"
0x326, "mhpmevent6"
0x327, "mhpmevent7"
0x328, "mhpmevent8"
0x329, "mhpmevent9"
0x32A, "mhpmevent10"
0x32B, "mhpmevent11"
0x32C, "mhpmevent12"
0x32D, "mhpmevent13"
0x32E, "mhpmevent14"
0x32F, "mhpmevent15"
0x330, "mhpmevent16"
0x331, "mhpmevent17"
0x332, "mhpmevent18"
0x333, "mhpmevent19"
0x334, "mhpmevent20"
0x335, "mhpmevent21"
0x336, "mhpmevent22"
0x337, "mhpmevent23"
0x338, "mhpmevent24"
0x339, "mhpmevent25"
0x33A, "mhpmevent26"
0x33B, "mhpmevent27"
0x33C, "mhpmevent28"
0x33D, "mhpmevent29"
0x33E, "mhpmevent30"
0x33F, "mhpmevent31"
0xF11, "mvendorid"
0xF12, "marchid"
0xF13, "mimpid"
0xF14, "mhartid"
0xF15, "mconfigptr"
0xFB0, "mtopi"
